rownumber,business_id,city,stars,review_count,is_open,category,day_time,week_day,hourofday,checkins
1,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-0,Fri,0,1
2,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-1,Fri,1,0
3,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-10,Fri,10,0
4,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-11,Fri,11,0
5,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-12,Fri,12,0
6,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-13,Fri,13,0
7,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-14,Fri,14,0
8,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-15,Fri,15,0
9,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-16,Fri,16,0
10,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-17,Fri,17,0
11,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-18,Fri,18,0
12,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-19,Fri,19,0
13,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-2,Fri,2,0
14,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-20,Fri,20,0
15,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-21,Fri,21,0
16,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-22,Fri,22,0
17,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-23,Fri,23,0
18,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-3,Fri,3,0
19,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-4,Fri,4,0
20,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-5,Fri,5,0
21,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-6,Fri,6,0
22,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-7,Fri,7,0
23,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-8,Fri,8,0
24,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Fri-9,Fri,9,0
25,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-0,Mon,0,0
26,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-1,Mon,1,0
27,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-10,Mon,10,0
28,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-11,Mon,11,0
29,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-12,Mon,12,0
30,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-13,Mon,13,0
31,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-14,Mon,14,0
32,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-15,Mon,15,0
33,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-16,Mon,16,0
34,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-17,Mon,17,0
35,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-18,Mon,18,0
36,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-19,Mon,19,0
37,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-2,Mon,2,0
38,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-20,Mon,20,0
39,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-21,Mon,21,0
40,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-22,Mon,22,0
41,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-23,Mon,23,0
42,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-3,Mon,3,0
43,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-4,Mon,4,0
44,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-5,Mon,5,0
45,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-6,Mon,6,0
46,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-7,Mon,7,0
47,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-8,Mon,8,0
48,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Mon-9,Mon,9,0
49,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-0,Sat,0,0
50,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-1,Sat,1,0
51,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-10,Sat,10,0
52,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-11,Sat,11,0
53,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-12,Sat,12,0
54,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-13,Sat,13,0
55,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-14,Sat,14,0
56,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-15,Sat,15,0
57,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-16,Sat,16,0
58,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-17,Sat,17,0
59,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-18,Sat,18,0
60,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-19,Sat,19,0
61,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-2,Sat,2,0
62,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-20,Sat,20,0
63,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-21,Sat,21,0
64,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-22,Sat,22,0
65,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-23,Sat,23,0
66,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-3,Sat,3,0
67,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-4,Sat,4,0
68,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-5,Sat,5,0
69,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-6,Sat,6,0
70,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-7,Sat,7,0
71,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-8,Sat,8,0
72,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sat-9,Sat,9,0
73,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-0,Sun,0,0
74,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-1,Sun,1,0
75,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-10,Sun,10,0
76,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-11,Sun,11,0
77,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-12,Sun,12,0
78,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-13,Sun,13,0
79,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-14,Sun,14,0
80,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-15,Sun,15,0
81,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-16,Sun,16,0
82,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-17,Sun,17,0
83,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-18,Sun,18,0
84,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-19,Sun,19,1
85,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-2,Sun,2,0
86,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-20,Sun,20,0
87,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-21,Sun,21,0
88,_1cBVJcvvxx3jxy6u5kSWQ,Las Vegas,2,13,1,Beauty & Spas,Sun-22,Sun,22,0
